ID,VIN,Prix,Kilometrage
CG_0109,1VWDT7A38HC037136,15216.0,89211
CG_0110,1FM5K8D81HGB32343,33500.0,286
CG_0111,1V2DR2CA1SC553490,40995.0,42032
CG_0112,JTEVA5BR5S5002128,NULL,16200
CG_0113,1V2TR2CA6LC502905,21986.0,48903
CG_0114,JF2SKAXC8MH491726,18500.0,61736
CG_0115,KNDCR3LE2R5128512,40995.0,42032
CG_0116,1GCUYEET7NZ221298,NULL,24
CG_0117,3FA6P0HD1KR134974,45617.0,1357
CG_0118,5FNYG1H68SB150410,28203.0,68613
CG_0119,58ADA1C12MU011657,40995.0,42032
CG_0120,5N1DR3CA2PC240586,NULL,23
CG_0121,1GCUYBEF0KZ333820,17480.0,48959
CG_0122,3VVLX7B22NM079807,28500.0,90154
CG_0123,1FTEW1EG9HFC62821,40995.0,42032
CG_0124,1GKKNUL40PZ163581,NULL,24
CG_0125,KMHL54JJ0MA036201,23888.0,54202
CG_0126,KMTG34TA6PU107026,25000.0,63424
CG_0127,5TDCZRAH3NS552558,40995.0,42032
CG_0128,5TDABRCHXPS571927,NULL,35
CG_0129,1FBAX9CGXPKB16385,8500.0,154388
CG_0130,4S3GTAD63M3703087,19892.0,43678
CG_0131,2HGFC1F81GH643002,40995.0,42032
CG_0132,5TFTU4GN1EX062970,NULL,19
CG_0133,1C4RJFBG9MC733248,19490.0,117312
CG_0134,1GKS2BKC9FR190282,31400.0,18342
CG_0135,2T3C1RFV0NW190077,40995.0,42032
CG_0136,3VWBM7BU0NM017968,NULL,35
CG_0137,1J4RR4GG9BC601152,14780.0,62911
CG_0138,19VDE1F39FE006897,10500.0,62919
CG_0139,2GKFLVEK2C6314208,40995.0,42032
CG_0140,3GKALPEV6NL119503,NULL,27
CG_0141,1GYAZAR4XPF105166,44508.0,9053
CG_0142,1GCPTFEK5R1293095,23854.0,62658
CG_0143,3TMJU4GN6FM190006,40995.0,42032
CG_0144,1FM5K7B82HGB00062,NULL,20
CG_0145,WA1EAAFY5P2062783,7995.0,96756
CG_0146,3FA6P0H70JR132934,36882.0,66234
CG_0147,1GKS2CKJ2KR227705,40995.0,42032
CG_0148,2C3CDZC94FH909383,NULL,20
CG_0149,4JGFB4KB6NA637756,9588.0,90003
CG_0150,1VWAT7A37GC033466,20200.0,76374
CG_0151,JF1ZCAC19H8602519,40995.0,42032
CG_0152,1GCGTCEN4H1330855,NULL,20
CG_0153,SALGV5FEXHA357023,23300.0,10212
CG_0154,4T1C11AK8NU659701,18985.0,82179
CG_0155,WP1AA2A58JLB16696,40995.0,42032
CG_0156,1FTYR2XV8KKB46045,NULL,96012
CG_0157,5NMJBCAE8NH081136,16586.0,107013
CG_0158,YV4A22PL7J1331709,14993.0,88353
CG_0159,1FTEX1C53JKF06362,40995.0,42032
CG_0160,WMWLN9C30H2E50188,NULL,22189
CG_0161,1HGCV1F18JA224893,28238.0,53950
CG_0162,5TDDZRFH0JS876168,34700.0,12261
CG_0163,WVWTR7AN9PE016376,40995.0,42032
CG_0164,5XYRL4LC9MG009419,NULL,26
CG_0165,1C6RR7NT9HS573558,11995.0,62000
CG_0166,4USBT53463LT23431,13590.0,6114661
CG_0167,4T1BK1FK8EU553394,40995.0,42032
CG_0168,3GNAXHEG6SL310929,NULL,27
CG_0169,WBA53BJ07NWX42159,15900.0,80015
CG_0170,KL4MMDS23PB059919,42988.0,14284
CG_0171,WA1CABGE4RB019881,40995.0,42032
CG_0172,3VVRX7B28NM036745,NULL,32
CG_0173,1N6DD26S22C341859,22000.0,68128
CG_0174,2T3W1RFV6NW218431,27999.0,40051
CG_0175,1V2FE2CA8NC210975,40995.0,42032
CG_0176,ML32AUHJ6MH013940,NULL,39
CG_0177,5YFT4MCE4RP215819,9992.0,110494
CG_0178,JM1BM1U79G1279477,27991.0,7698
CG_0179,4T1K61AKXRU260453,40995.0,42032
CG_0180,5TDDZRBHXLS022006,NULL,23
CG_0181,1GNEVJKWXPJ150529,24991.0,6659
CG_0182,1HGCY1F38RA063644,27598.0,89595
CG_0183,3GTU2NEC4JG625459,40995.0,42032
CG_0184,W1N4N4GB6NJ383826,NULL,29
CG_0185,3FA6P0HD0KR284252,15499.0,61986
CG_0186,KNDJ23AU8P7884692,32169.0,5013
CG_0187,SALCJ2FXXRH352682,40995.0,42032
CG_0188,3VVSX7B21NM062153,NULL,32
CG_0189,5UX43DP00P9P51562,17999.0,164232
CG_0190,1FTFW1E54NKD87800,10213.0,108715
CG_0191,4JGDF2EE3DA225458,40995.0,42032
CG_0192,1VWAP7A31DC020910,NULL,26
CG_0193,2G1125S38J9119353,43689.0,8222
CG_0194,JTDACAAJ9S3012979,25967.0,25251
CG_0195,7MMVABEM5PN145932,40995.0,42032
CG_0196,5YJXCAE23LF234113,NULL,64152
CG_0197,1N4BL4BV1MN382196,18987.0,44868
CG_0198,KMHL64JA4RA380800,17648.0,61864
CG_0199,1N4BL4DV5RN329389,40995.0,42032
CG_0200,3KPA24AB2KE166889,NULL,32
CG_0201,5TDDZRFH5KS950301,48595.0,28554
CG_0202,5TDDSKFC4SS174646,25898.0,63805
CG_0203,1C6HJTAG1PL534041,40995.0,42032
CG_0204,1HGCV1F3XNA090878,NULL,32
CG_0205,3GTU9DEL7LG174259,18991.0,98481
CG_0206,2C3CDYCJ6CH118773,9500.0,63057
CG_0207,KNDJN2A28G7821883,40995.0,42032
CG_0208,1V2FR2CA5PC541505,NULL,20
CG_0209,1N4BL4DW9NN390814,31200.0,41989
CG_0210,JM3KK1HC5R1146626,25600.0,47867
CG_0211,1C6RR6LG7RS123912,40995.0,42032
CG_0212,2FMHK6C81DBD08151,NULL,20
CG_0213,3GTP8FET6MG350523,27377.0,2815
CG_0214,1HGCY1F43SA025236,6988.0,112347
CG_0215,3N1AB7AP6HL686209,40995.0,42032
CG_0216,3TMBZ5DNXHM011632,16990.0,44156
CG_0217,JC1NFAEK5H0108756,22259.0,41008
CG_0218,3GNKBHR42RS167223,40995.0,42032
CG_0219,KMHTC6AE5GU263939,NULL,73229
CG_0220,1HGCV1F3XJA237856,24985.0,34990
CG_0221,3VV4B7AX5NM020878,17889.0,119116
CG_0222,1GCGTDEN8J1155117,40995.0,42032
CG_0223,5TDDZRFH2JS839638,NULL,22
CG_0224,4T1BZ1HK2KU031350,15099.0,77814
CG_0225,1G6AA5RX5J0108116,33238.0,13461
CG_0226,W1N0G8EB3NG038933,40995.0,42032
CG_0227,KNDJ23AU1P7840629,NULL,30
CG_0228,JM3KFACM7J1438786,29996.0,17938
CG_0229,5N1DR3CA3RC209141,29598.0,44410
CG_0230,5FNRL6H62PB055460,40995.0,42032
CG_0231,4T1DAACK8SU006590,NULL,48
CG_0232,5UX53DP03R9W55688,24985.0,34990
CG_0233,JTDACAAU3R3028664,40995.0,42032
CG_0234,5XXGT4L30LG389129,NULL,28
CG_0235,5TFHY5F19CX234240,28888.0,56808
CG_0236,W1KAF4GB7PR093788,11950.0,109835
CG_0237,1FM5K7FH2HGC68021,40995.0,42032
CG_0238,1GKKNXLS2PZ210867,NULL,22
CG_0239,5NPE24AF3GH306441,16978.0,87150
CG_0240,1ZVBP8CF1C5248152,27395.0,52597
CG_0241,JTDBCMFEXRJ018135,NULL,50
CG_0242,1GTG6CEN7N1255071,15995.0,93554
CG_0243,5UXKR2C59J0Z20548,19173.0,59713
CG_0244,3GKALVEV1NL162201,40995.0,42032
CG_0245,19XFB2F51DE204421,NULL,33
CG_0246,1FTFW1CT5EKE56947,17995.0,160308
CG_0247,1FDRF3G67HEC23308,21756.0,37725
CG_0248,7FARW1H73ME016671,40995.0,42032
CG_0249,2C3KA43R98H298504,NULL,22
CG_0250,WDDJK6GA8HF044455,33975.0,18430
CG_0251,WBY73AW04PFR12462,19971.0,99180
CG_0252,1N6AA1EJ0JN506549,40995.0,42032
CG_0253,1GCES14P84B114058,NULL,83077
CG_0254,1C4SDJCT1MC610082,41250.0,66904
CG_0255,1GYS4DKJ6KR384112,27495.0,85345
CG_0256,WDDZH6GB4JA420193,40995.0,42032
CG_0257,3GNMCFE01BG265729,NULL,18
CG_0258,2HGFE1F79RH311555,16688.0,55249
CG_0259,5N1BT3BA5NC694998,46469.0,52097
CG_0260,1GNSKFKD6PR330129,40995.0,42032
CG_0261,5N1DR3BA6RC274776,NULL,23
CG_0262,3MVDMBDM5RM667427,18643.0,38339
CG_0263,1N4BL4DV9RN395573,40999.0,39890
CG_0264,SALWS2RU8MA783616,40995.0,42032
CG_0265,1N4AA5AP2CC841403,NULL,22
CG_0266,1C6RR7GT4FS547024,38499.0,21840
CG_0267,1GTPUAEK2RZ268530,40995.0,42032
CG_0268,3PCAJ5JR5RF108401,NULL,25
CG_0269,3N1AB8CV9SY229325,20734.0,35267
CG_0270,2FMPK4J93RBA81600,16981.0,58762
CG_0271,JM3KFABM6K1549302,40995.0,42032
CG_0272,5XXGU4L17KG315491,281.0,83
CG_0273,1FMJK2AT4MEA87019,6995.0,101300
CG_0274,1FADP3F29GL246793,21745.0,87506
CG_0275,58ABZ1B14KU026787,40995.0,42032
CG_0276,5XXGT4L34KG309118,NULL,28
CG_0277,2C3CDXBG7PH506245,10700.0,85602
CG_0278,1N4BL4BV9KC209776,26448.0,34858
CG_0279,3GNAXKEG8SL130770,40995.0,42032
CG_0280,5TDKZ3DC2HS859653,NULL,23
CG_0281,5J6RW1H50KA015634,8505.0,94267
CG_0282,WAUWFAFL3CA112836,8505.0,35120
CG_0283,3GNAXKEG2PS203645,40995.0,42032
CG_0284,5TDGZRAH1NS093144,NULL,24
CG_0285,19UDE4H35RA018592,19425.0,11517
CG_0286,3VWAM7BU2RM085254,13998.0,89770
CG_0287,5XYPH4A54JG339171,40995.0,42032
CG_0288,WVWCB71K48W175957,109.0,350
CG_0289,1C4PJXEN2RW257924,14999.0,38171
CG_0290,3KPF24AD5RE766016,25996.0,30614
CG_0291,1HGCV3F28NA010481,40995.0,42032
CG_0292,1HGCM567X5A103822,NULL,94212
CG_0293,1V2AC2CA0MC237473,37499.0,47045
CG_0294,1G1YM2D70E5134505,31644.0,72916
CG_0295,1C6JJTEG2ML519734,40995.0,42032
CG_0296,1HGCV3F90NA013713,14213.0,97245
CG_0297,2FMHK6DT6JBA09950,18998.0,51243
CG_0298,5NMS24AJ4PH567100,40995.0,42032
CG_0299,3FA6P0H77FR292672,NULL,27
CG_0300,1HGFA16569L000548,46575.0,4250
CG_0301,WBY23HD03SFU18527,34987.0,12374
CG_0302,1N6ED1EK4RN607221,40995.0,42032
CG_0303,3GCUYDED8KG127915,NULL,19
CG_0304,3LN6L5MU0KR610832,18138.0,40623
CG_0305,1G1ZD5ST8RF173106,35436.0,22806
CG_0306,KM8J33AL1MU294671,NULL,25
CG_0307,WBY73AW02PFN54052,39900.0,22950
CG_0308,1FA6P8K07K5503599,20799.0,53223
CG_0309,1GCGSDEAXK1191456,40995.0,42032
CG_0310,5FNRL5H92HB006782,NULL,23
CG_0311,5YJ3E1EB1KF408705,17987.0,67723
CG_0312,1GNERFKW6KJ113052,30984.0,7439
CG_0313,KNDC3DLCXP5153161,40995.0,42032
CG_0314,3KPFW4DEXSE052056,NULL,4459
CG_0315,KM8K22AA6LU558899,40086.0,25453
CG_0316,1N6AA1ED0PN103884,24688.0,42574
CG_0317,4T1F11AK1PU779985,40995.0,42032
CG_0318,1FTFW1ET4DKG11807,NULL,18
CG_0319,3GNAXKEV5NL259309,15588.0,111756
CG_0320,2C3CDZGG3HH574581,12599.0,94099
CG_0321,2GNAXWEX2J6333440,40995.0,42032
CG_0322,WDDSJ5CB9EN085839,NULL,27
CG_0323,2GCRCNEC4K1202636,24919.0,50855
CG_0324,1C4HJXEN3JW328945,10136.0,106801
CG_0325,1GKKVRKD1FJ130701,40995.0,42032
CG_0326,5FPYK3F83PB032908,NULL,21
CG_0327,1C6RREMT7KN912877,25834.0,27166
CG_0328,JF1VBAF68P9817679,23600.0,4026734
CG_0329,WA1BCBFZ4PP026629,40995.0,42032
CG_0330,5XXG14J27PG185191,NULL,32
CG_0331,3VWH07AT7GM604413,17699.0,39334
CG_0332,5YFB4MDE5RP140610,25899.0,40027
CG_0333,1C4RJKAG8R8515239,40995.0,42032
CG_0334,JTEVA5AR8S5000522,NULL,21198
CG_0335,3C6UR5MJ1KG571784,14995.0,76213
CG_0336,5XYPG4A57KG599374,17115.0,72340
CG_0337,WDC0G4KBXKV193405,40995.0,42032
CG_0338,JM3KKDHA0R1160143,NULL,57
CG_0339,1FA6P8CF1R5400238,35462.0,43456
CG_0340,1C4HJXFG8MW695327,13999.0,93732
CG_0341,3C6JR7AG4GG189795,40995.0,42032
CG_0342,KNDJ33AU3P7194443,NULL,30
CG_0343,3C3CFFFH1FT508926,20445.0,33411
CG_0344,5N1BT3BB9PC853209,33500.0,9976
CG_0345,1FTBR1Y87RKB03691,40995.0,42032
CG_0346,YV4L12UJ3S2528886,NULL,26
CG_0347,1GNSKNKD8MR367365,11990.0,91539
CG_0348,WBXHT3C37H5F70938,23495.0,21909
CG_0349,KM8KNDAF2PU205581,40995.0,42032
CG_0350,5LMYJ9YY3NNL01914,34999.0,18822
CG_0351,SAJBL4GX0RCY93617,39448.0,19155
CG_0352,JN8AY2NC1L9621554,NULL,15
CG_0353,3GTUUDED5RG393317,24777.0,24412
CG_0354,1HGCY2F58PA069335,7870.0,97325
CG_0355,1G1BE5SM1J7191792,40995.0,42032
CG_0356,5TFTX4GN4FX050384,NULL,21
CG_0357,2T3BFREV9JW738795,18388.0,2185
CG_0358,3N1AB8CV7SY235785,20949.0,10646
CG_0359,3KPFT4DE0SE109115,40995.0,42032
CG_0360,KNDJ63AU6L7024594,NULL,30
CG_0361,JF1ZDBE15P9706109,23995.0,127318
CG_0362,1GC1CWEG6FF175735,12954.0,53499
CG_0363,KNDJX3AA6K7664466,40995.0,42032
CG_0364,2C3CDXGJXLH240718,NULL,19
CG_0365,5NPD84LF6LH568648,27610.0,47835
CG_0366,WDBSK72F97F118714,16995.0,37278
CG_0367,3N1AB8CV8RY238883,40995.0,42032
CG_0368,4S4BSAKC5J3318157,NULL,28
CG_0369,1FM5K7B89FGA27656,16991.0,33893
CG_0370,KM8K53A55MU609519,14629.0,84929
CG_0371,2C4RC1GG0HR513192,40995.0,42032
CG_0372,3FA6P0D98LR176318,NULL,24
CG_0373,3TMAZ5CN3KM103315,33238.0,13461
CG_0374,4S4BSANC9K3272958,40995.0,42032
CG_0375,3VVCB7AX8RM110947,NULL,26
CG_0376,KNDJ23AU6P7882844,14558.0,56204
CG_0377,JTMDFREV2JD249760,40995.0,42032
CG_0378,5YFB4MDE3PP032421,NULL,36
CG_0379,WAUABAF49MA067367,15099.0,77814
CG_0380,1GCGTCEN2N1177341,40995.0,42032
CG_0381,W1N0G8DB0NV327006,15995.0,96291
CG_0382,1V2NR2CA3JC503953,40995.0,42032
CG_0383,WA124BGF2SA021992,NULL,100
CG_0384,5TDKKRFH2GS121284,15895.0,76023
CG_0385,WAUSPBFF5HA118902,20289.0,86222
CG_0386,JTDL9MFU3N3039174,40995.0,42032
CG_0387,5FRYD4H60EB035412,NULL,22
CG_0388,JM3KJDHC2S1103839,8999.0,136218
CG_0389,JM1BL1M8XC1655707,19998.0,54708
CG_0390,1GYKNARS3JZ223595,40995.0,42032
CG_0391,WVWPR7AU8KW906329,NULL,119
CG_0392,ZAM45KLA2C0063751,14999.0,85748
CG_0393,4T1BF1FK1GU189312,9595.0,146416
CG_0394,JTDZN3EU1C3172188,40995.0,42032
CG_0395,1FTFW1ET6EFC24072,NULL,18
CG_0396,1J4AA2D16AL205364,12343.0,25099
CG_0397,1HGCV1F46NA120189,21982.0,36687
CG_0398,1C4HJXDG0JW292733,40995.0,42032
CG_0399,1FTVW1EL8NWG15185,NULL,69
CG_0400,2HGFC1F98HH635652,36500.0,59378
CG_0401,3GCPYFED8MG348183,27478.0,34485
CG_0402,2T3RWRFV9RW189284,40995.0,42032
CG_0403,3VV3B7AX2JM221238,NULL,24
CG_0404,5TDBGRFH4HS033100,25988.0,60467
CG_0405,1C4HJXDN3MW584556,20990.0,60559
CG_0406,KM8JBCA16PU118267,40995.0,42032
CG_0407,5TDZZRFH6KS357097,NULL,24
CG_0408,WMWSY3C51ET595339,39991.0,31283
CG_0409,2T2BAMBA7RC028122,39985.0,13559
CG_0410,1FM5K8GC1PGA74619,40995.0,42032
CG_0411,WDCYC3KF3GX257839,NULL,13
